[4S, 8C, 9H, TS, KC]         [2S, 3S, 5D, 7D, AC]        player2 win
[5C, 5D, 9C, AD, AC]         [5H, 7C, 8D, TD, KS]        player1 win
[3H, 6S, 7H, JS, KC]         [2D, 8S, TD, JC, QH]        player1 win
[5C, 8H, TH, TC, QS]         [4D, 9H, JC, JS, KS]        player2 win
[5H, 7C, JD, QH, KC]         [4C, 4S, KH, AS, AD]        player2 win
[5H, 7D, 9C, 9H, KS]         [3S, 5D, 5C, 8D, AH]        player1 win
[2H, 3H, 4H, 5C, 6H]         [3S, 5S, 6S, QH, AS]        player1 win
[4H, 7C, 8C, TD, TC]         [3H, 4C, 7S, KC, KS]        player2 win
[3H, 6D, 7C, 9C, KD]         [4C, QS, QC, KH, AC]        player2 win
[2H, 2D, 5H, 6S, JC]         [7C, 9D, JS, KD, AS]        player1 win
[8H, 9D, TH, QH, AD]         [3S, 6D, TS, AS, AC]        player2 win
[2H, 4S, 5C, 5S, TC]         [3C, 6C, TS, JD, KC]        player1 win
[2C, 6H, JS, QD, AS]         [3D, 4H, 8S, 9H, KC]        player1 win
[2S, 7C, 8S, 9S, KD]         [3S, 4H, 6D, 6S, KC]        player2 win
[2D, 3C, 4D, 7D, 8C]         [4S, 4H, 9S, JD, QH]        player2 win
[2D, 7S, 8C, TC, KC]         [5C, 8H, TS, QD, AC]        player2 win
[3D, 6C, 6S, QD, KH]         [2H, 8H, QS, AD, AS]        player2 win
[4C, 6S, 6C, 8D, 8S]         [6D, 7D, 9D, TC, QH]        player1 win
[2S, 4C, 8D, 8C, TS]         [3D, 9S, 9D, 9C, AC]        player2 win
[2S, 3C, 4H, JH, QS]         [2D, 3D, 8S, 9H, TD]        player1 win
[3C, 5H, 6D, 8S, QS]         [7H, 7D, 8C, JD, AS]        player2 win
[6H, 9D, TD, JH, AS]         [6C, 9S, JC, QC, KD]        player1 win
[4D, 8S, TH, QS, AH]         [3C, 3D, 5C, TS, AC]        player2 win
[3D, 4D, 5S, 8H, JS]         [3S, 6C, 8C, TS, AD]        player2 win
[3S, 5D, 5H, 6D, 7C]         [2H, 3D, 5C, 5S, JC]        player2 win
[2S, 3D, 5H, 6H, KS]         [5D, 7H, 8H, JD, JS]        player2 win
[4H, JS, QS, KH, AS]         [6D, 7C, TC, QC, KS]        player1 win
[2H, 3D, TS, JS, QS]         [4D, 9S, JC, KD, AS]        player2 win
[4D, 5H, 5D, QD, KH]         [3D, 4H, 7H, JS, KD]        player1 win
[2C, 5C, 6H, 9H, 9D]         [2D, 6C, 9S, TH, JC]        player1 win
[6D, 7D, JH, QD, AS]         [4D, 5C, 7C, JS, QS]        player1 win
[3H, 8C, QD, KH, AD]         [3S, 5S, 8H, 9D, TH]        player1 win
[4D, 8S, 9S, 9D, AH]         [3C, 4H, 8D, TC, JS]        player1 win
[2C, 3S, 5H, QD, KS]         [8S, 9H, TS, AH, AD]        player2 win
[5C, 5D, 7H, 9H, KD]         [2D, 3D, 4D, KS, AD]        player1 win
[2C, 6D, 9S, KS, KC]         [9D, 9H, TS, TC, QH]        player2 win
[4D, 5D, 6H, 9C, QH]         [6D, JS, QC, KH, AD]        player2 win
[3H, 5C, 9S, 9D, JD]         [4D, 9H, TC, QH, AS]        player1 win
[2C, 3C, 6D, 9C, JC]         [7D, 9S, 9D, KH, AD]        player2 win
[7C, 9C, JC, JS, KC]         [3H, 3C, 7D, KD, AS]        player1 win
[2C, 3S, QD, QS, KH]         [8S, 8H, 9H, 9C, JC]        player2 win
[3C, 4C, 8D, QH, KC]         [4H, 6D, 9H, 9D, AD]        player2 win
[3S, 7H, QS, KS, KH]         [5H, 5D, 7D, JD, AD]        player1 win
[2H, 2C, 6H, TH, TC]         [4H, 7D, 8D, 8C, AS]        player1 win
[2H, 3S, 4S, QC, AC]         [4D, 4C, 6D, TH, KH]        player2 win
[4D, 7C, TC, KS, AS]         [2D, 3C, 6D, 6C, 9H]        player2 win
[2C, 5D, 8C, TD, QS]         [3H, 4C, 7H, 9C, 9H]        player2 win
[5H, 7S, TS, TD, JH]         [6H, 8H, 8S, QD, AD]        player1 win
[5S, 7C, 8C, 9C, AD]         [2S, 5H, 8D, 8S, 9D]        player2 win
[2S, 4H, 9S, KH, KS]         [4S, 5S, 7D, KC, AD]        player1 win
[6H, 9C, JS, QS, QD]         [2S, 5D, 8D, AC, AS]        player2 win
[3S, 9D, JC, KH, AC]         [3C, 5S, 9S, 9C, JS]        player2 win
[3C, 3D, 3S, KS, AD]         [4S, 5C, 8C, 9C, TS]        player1 win
[5D, 6H, 8D, JH, KD]         [3D, 6C, QS, QD, KC]        player2 win
[3S, 6C, 8S, 8C, JD]         [3C, TC, JS, QC, QH]        player2 win
[2S, 8H, 9H, JC, KC]         [8S, 8C, 9C, 9S, JH]        player2 win
[2H, 4D, 8S, QH, QC]         [3C, 9D, TH, KC, AS]        player1 win
[2H, 6H, 7C, 8S, TH]         [3C, 3H, 6S, 7S, AS]        player2 win
[4H, 5S, 5H, JS, QH]         [8H, TS, JC, AH, AC]        player2 win
[2S, 4S, 8H, 9D, TC]         [3C, 3H, 5C, 7H, JC]        player2 win
[3D, 3C, 3S, 4C, AD]         [5D, 8C, TH, QC, AS]        player1 win
[4C, 6S, 9D, JS, KH]         [8H, TS, JD, AH, AD]        player2 win
[4C, 6S, 7S, 9D, AC]         [3D, 3S, 4D, TC, JD]        player2 win
[4H, 6H, 7H, JH, AD]         [6S, 7D, TD, TS, KC]        player2 win
[3S, 8H, 8D, TC, JH]         [2C, 4D, 5C, 8C, 9S]        player1 win
[2C, 9D, TH, QH, KC]         [4H, 9C, TS, JC, QS]        player1 win
[3C, 8H, QS, QD, KH]         [4H, 8D, 8S, TD, AC]        player1 win
[3C, 5S, 7C, 8H, TH]         [8C, 9C, TC, JD, KD]        player2 win
[8C, TC, TS, JD, QC]         [3H, 6H, 7C, TD, KD]        player1 win
[6D, 9C, JH, QS, KS]         [6S, 6H, 9H, KH, AS]        player2 win
[2H, 2D, 4D, JH, AH]         [4H, 5D, 6H, TD, JD]        player1 win
[8C, 9S, JH, QD, KD]         [2C, 5C, 7C, JS, QS]        player1 win
[2S, 4S, 7H, 8D, TC]         [6H, 7S, 7C, 9C, KC]        player2 win
[4S, 5D, 7H, 8C, TD]         [4H, 8S, JS, QC, KS]        player2 win
[6D, 8S, TD, JH, AD]         [2D, 6C, 7C, 7D, KD]        player2 win
[4H, 6H, 6S, JC, JS]         [3C, 4C, 9H, QH, AH]        player1 win
[5H, 6H, 7C, 7S, AS]         [3D, 5D, 5C, KH, KC]        player2 win
[3D, 4D, TD, JC, AS]         [6D, 6S, JD, QH, KS]        player2 win
[2S, 7S, 8C, 8S, QH]         [5C, 7H, JD, QD, AH]        player1 win
[2C, 3C, 6H, 6C, 8S]         [4C, 4D, 7D, 8D, TD]        player1 win
[2S, 5D, 7C, QH, KH]         [6D, 7H, JS, QC, QD]        player2 win
[6C, 6S, 7D, TH, AD]         [2H, 4H, 6H, 8H, KH]        player2 win
[2D, 5D, JS, KS, KD]         [3D, 7D, 8C, 9C, KH]        player1 win
[3C, 6D, 9C, QD, KS]         [2D, 3S, 7S, JD, AH]        player2 win
[8S, JC, QH, AH, AS]         [4C, 7D, 8H, TH, KC]        player1 win
[5H, 5D, 7C, TD, JC]         [4C, 8H, JS, KD, AD]        player1 win
[2H, 7D, KC, AC, AH]         [5D, 6D, 7S, JH, KH]        player1 win
[5S, 6H, 8S, 9S, 9C]         [6C, 9H, TD, JD, AC]        player1 win
[6D, 7D, 8S, TS, KD]         [5S, 5D, 7H, 7C, AC]        player2 win
[4C, TC, JC, QC, AH]         [2H, 2C, 7D, 8C, TS]        player2 win
[3D, 6S, 7D, KD, KC]         [2S, 3H, 5S, 5C, 8S]        player1 win
[4C, 5D, 6H, 8S, 8H]         [3H, 5S, 7C, KC, KD]        player2 win
[3D, 3C, 6C, 8C, JH]         [4C, 7H, 7C, TD, KC]        player2 win
[6H, TS, JC, QS, KC]         [8H, 8C, 9S, TD, KS]        player2 win
[5S, 6C, 7D, 9C, QH]         [2C, 9S, KS, KC, AH]        player2 win
[4D, 4S, 8H, 9C, TD]         [3S, 7D, 9D, TH, AS]        player1 win
[3C, 5D, 6S, 6H, 7D]         [2C, 5C, 9D, 9C, KD]        player2 win
[2H, 3D, 3H, KC, AD]         [4S, 8D, JC, QD, QS]        player2 win
[3H, 7C, 8C, 9C, AD]         [5D, 9D, JC, JS, AS]        player2 win
